ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
13 GUENOC LAKE COUNTY SAUV BLANC,All warehouses,,, 08163338722 5, 08163338722 5,165,                                  
13 J LOHR 7 OAKS CABERNET 750ML,All warehouses,,, 08912128812 2, 08912128812 2,380,                                   
13 J LOHR 7OAKS CAB TRAY 750ML,All warehouses,,,0000000000000,0000000000000,411,                                      
13 J LOHR 7OAKS CABERNET 375ML,All warehouses,,, 08912128811 5, 08912128811 5,390,                                    
13 J LOHR AROYO VISTA CHARD 6PK,All warehouses,,,,,426,                                                               
13 J LOHR CAROL'S VINEY CABERNET 6PK,All warehouses,,, 08912132852 1, 08912132852 1,344,                              
13 J LOHR CAROL'S VINEY SAUV BLANC 6PK,All warehouses,,,,,299,                                                        
13 J LOHR LOS OSOS MERLOT 750ML,All warehouses,,, 08912118852 1,08912118852 1,355,                                    
13 J LOHR OCT NIGHT CHARD 6PK 750ML,All warehouses,,,,,143,                                                           
13 JAMES MITCHELL CABERNET SAUV,All warehouses,,,021893796573,021893796573,1350,                                      
13 LEYDA GARUMA SAUVIGNON BLANC,All warehouses,,,,0000000000000,5107,                                                 
13 LUNA DI LUNA CAB MERLOT 750ML,All warehouses,,, 02189378908 7, 02189378908 7,2768,                                 
13 LUNA DI LUNA PINOT CHARDONNAY,All warehouses,,, 02189378610 9, 02189378610 9,2795,                                 
13 MEZZACORONA CHARDONNAY 750ML,All warehouses,,, 08724188103 2, 08724188103 2,2830,                                  
13 MEZZACORONA CHARDONNAY MAG,All warehouses,,, 08724188110 0, 08724188110 0,2840,                                    
13 MEZZACORONA PINOT GRIGIO 750ML,All warehouses,,, 08724188106 3,08724188106 3,2850,                                 
13 MEZZACORONA PINOT NOIR,All warehouses,,, 08724188126 1,08724188126 1,2855,                                         
13 OLIVE GARDEN CABERNET COPPOLA,All warehouses,,,,0000000000000,225,                                                 
13 PICCINI CHIANTI 750ML,All warehouses,,, 02189375168 8,02189375168 8,3160,                                          
13 PIERRE SPARR CARTE GEWURTZ 750ML,All warehouses,,, 09787100163 2, 09787100163 2,2623,                              
13 PIERRE SPARR CARTE RIESLING 750ML,All warehouses,,,7 22455 00006 9,7 22455 00006 9,2621,                           
13 PONZI WILLAMET PIN NOIR 750ML,All warehouses,,,,011832049413,3468,                                                 
13 QUERCETO CHIANTI 1.5ML,All warehouses,,, 08724166010 1, 08724166010 1,3129,                                        
13 QUERCETO CHIANTI CLASSICO 750ML,All warehouses,,, 08724166011 8, 08724166011 8,3130,                               
13 QUINTA DO VALE MEAO DUORO 6PK,All warehouses,,, 09479909014 4, 09479909014 4,4188,                                 
13 ROTH CABERNET SAUVIGNON 750ML,All warehouses,,, 08678549109 7, 08678549109 7,2136,                                 
13 ROTH HERITAGE RED,All warehouses,,, 08678549038 0, 08678549038 0,2129,                                             
13 ROTH MERLOT,All warehouses,,,,0000000000000,2140,                                                                  
13 ROTH SAUVIGNON BLANC,All warehouses,,,,0000000000000,2139,                                                         
13 SANTE PINOT NOIR REST PK 750ML,All warehouses,,, 08068673040 8, 08068673040 8,2515,                                
13 SCHRAMSBERG BRUT ROSE 750ML,All warehouses,,, 01985513200 2, 01985513200 2,4446,                                   
13 SOFIA RED BLEND,All warehouses,,,,0000000000000,615,                                                               
13 STAGS LEAP ARTEMIS CAB VS 750ML,All warehouses,,, 08859350001 5, 08859350001 5,1147,                               
13 STAGS LEAP KARIA CHARD VS 750ML,All warehouses,,,0000000000000,0000000000000,1185,                                 
13 STAGS LEAP KARIA CHARDONNAY 750ML,All warehouses,,, 088593450303, 088593450303,1150,                               
13 STEFANO FARINA BARBERA D'ALBA 750ML,All warehouses,,, 8008366000643, 8008366000643,2635,                           
13 STEMMARI CABERNET 750ML,All warehouses,,,8 54559 00024 6,8 54559 00024 6,3281,                                     
13 TOLLOY PINOT GRIGIO 750ML,All warehouses,,, 08724188201 5, 08724188201 5,3001,                                     
13 VOTRE SANTE CHARDONNAY,All warehouses,,, 08068673140 5, 08068673140 5,2513,                                        
14 ARIEL CABERNET SAUVIGNON 750ML,All warehouses,,, 08912185002 2, 08912185002 2,450,                                 
14 ARIEL CHARDONNAY 750ML,All warehouses,,, 08912183002 4, 08912183002 4,510,                                         
14 ARS VITIS RIESLING,All warehouses,,,7 8425560009 2,7 8425560009 2,2673,                                            
14 BR COHN SILVER LABEL CABERNET,All warehouses,,,7 40216 12609 4,7 40216 12609 4,3402,                               
14 CA MONTINI PINOT GRIGIO 750ML,All warehouses,,, 02189378630 7, 02189378630 7,2771,                                 
14 CATENA CHARDONNAY 750ML,All warehouses,,, 08904644402 0, 08904644402 0,3660,                                       
14 CHILIS R & B PINOT GRIGIO,All warehouses,,,08981979686 1,08981979686 1,727,                                        
14 COPPOLA DIAMOND CABERNET 750ML,All warehouses,,, 60867411041 6,7 39958 06480 1,662,                                
14 COPPOLA DIAMOND CHARDONNAY 750ML,All warehouses,,, 7 3995898420 8, 7 3995898420 8,190,                             
14 COPPOLA DIAMOND PINOT NOIR 750ML,All warehouses,,, 73995801450 9, 73995801450 9,209,                               
14 COPPOLA DIAMOND RED BLEND,All warehouses,,,7 3995810540 9,7 3995810540 9,197,                                      
14 COPPOLA DIAMOND SAUV BLANC 750ML,All warehouses,,, 073995803460 6, 073995803460 6,196,                             
14 COPPOLA R & B PINOT GRIGIO,All warehouses,,, 73995802405 8, 73995802405 8,656,                                     
14 CROSSINGS PINOT NOIR 750ML,All warehouses,,, 83186900201 6, 83186900201 6,2032,                                    
14 CROSSINGS SAUV BLANC 750ML,All warehouses,,,8 31869 00001 2,8 31869 00001 2,2030,                                  
14 CYPRESS CHARDONNAY 750ML,All warehouses,,,089121058527,089121058527,350,                                           
14 DONATI SORELLE SISTER CHARDONNAY,All warehouses,,,,1 8783300060 2,2151,                                            
14 ELK COVE CLAY COURT PINOT NOIR 6PK,All warehouses,,,0000000000000,0000000000000,3478,                              
14 ELK COVE GOODRICH 6PK,All warehouses,,,0000000000000,0000000000000,3476,                                           
14 ELK COVE MT. RICH PINOT NOIR 6PK 750ML,All warehouses,0000000000000,,,,3482,                                       
14 ELK COVE PINOT BLANC 750ML,All warehouses,,,0 83648 84258 4,0 83648 84258 4,3469,                                  
14 ELK COVE PINOT GRIS 750ML,All warehouses,,,083648871317,083648871317,3471,                                         
14 ELK COVE ROSE PINOT NOIR,All warehouses,,,0 83648 01212 3,0 83648 01212 3,3484,                                    
14 FERRARI CARANO ANDERSON P NOIR,All warehouses,,,,0000000000000,1252,                                               
14 FERRARI CARANO FUME BLANC 750ML,All warehouses,,, 74265112119 1,74265112119 1,1250,                                
14 FERRARI CARANO PINOT GRIGIO,All warehouses,,,0000000000000,0000000000000,1256,                                     
14 GEYSER PEAK PINOT GRIGIO 750ML,All warehouses,,,08341700420 5,08341700420 5,266,                                   
14 GEYSER PEAK SAUVIGNON BLANC,All warehouses,,, 08341700020 7, 08341700020 7,256,                                    
14 GEYSER PK PINOT GRIGIO TRAY  750ML,All warehouses,,,0000000000000,0000000000000,260,                               
14 GIRARD SAUV BLANC 750ML,All warehouses,,, 00817670040 3, 00817670040 3,671,                                        
14 GUENOC CALIF CAB SAUV 750ML,All warehouses,,, 08163318522 7, 08163318522 7,200,                                    
14 GUENOC CALIF CHARDONNAY 750ML,All warehouses,,, 0 8163328842 3, 0 8163328842 3,149,                                
14 GUENOC CALIF MERLOT 750ML,All warehouses,,,08163330575 5,08163330575 5,156,                                        
14 GUENOC CALIF SAUV BLANC 750ML,All warehouses,,, 08163338832 1, 08163338832 1,160,                                  
14 GUENOC VICTORIAN CLARET 750ML,All warehouses,,, 08163318544 9, 08163318544 9,130,                                  
14 J LOHR FALCONS PERCH PIN NOIR 750ML,All warehouses,,,0 8912107852 5,0 8912107852 5,349,                            
14 J LOHR FLUMES SAUVIGNON BLANC,All warehouses,,,0 89121 27852 9,0 89121 27852 9,145,                                
14 J LOHR RIESLING 750ML,All warehouses,,, 08912101852 1, 08912101852 1,340,                                          
14 J LOHR RIVERSTONE CHARD 375ML,All warehouses,,, 08912106881 6, 08912106881 6,320,                                  
14 J LOHR RIVERSTONE CHARDONNAY 750ML,All warehouses,,, 0 8912106882 3, 0 8912106882 3,310,                           
14 J.LOHR VALDIGUIE 750ML,All warehouses,,, 08912110852 9, 08912110852 9,430,                                         
14 KARL HEINZ PIES MICH 750ML,All warehouses,,, 02010610931 5, 02010610931 5,2680,                                    
14 KARL HEINZ PIES MICH MAG 1.5L,All warehouses,,, 02010610912 4, 02010610912 4,2690,                                 
14 LURTON BONNET WHITE BORD 750ML,All warehouses,,,7 21298 11071 3,7 21298 11071 3,5005,                              
14 LURTON ROSE,All warehouses,,,7 21298 26051 7,7 21298 26051 7,5017,                                                 
14 MAGGIANOS R & B ROSSO,All warehouses,,,7 39958 06490 0,7 39958 06490 0,611,                                        
14 MEZZACORONA CABERNET SAUVIGNON,All warehouses,,, 08724188105 6, 08724188105 6,2870,                                
14 MEZZACORONA PINOT GRIGIO MAG,All warehouses,,, 0 8724188109 4,0 8724188109 4,2860,                                 
14 PEJU SAUVIGNON BLANC 750ML,All warehouses,,,6 87194 09141 2,6 87194 09141 2,1010,                                  
14 PONZI PINOT GRIS 750ML,All warehouses,,,011852090217,011852090217,3462,                                            
14 PONZI TAVOLA PINOT NOIR 750ML,All warehouses,,,,011852040311,3467,                                                 
14 QUERCETO CHIANTI 750ML,All warehouses,,, 08724166009 5,08724166009 5,3128,                                         
14 SAUVION ROSE D'ANJOU 750ML,All warehouses,,,0 86368 66703 1,0 86368 66703 1,5002,                                  
14 SAUVION SANCERRE 750ML,All warehouses,,,0 86368 67743 6,0 86368 67743 6,5001,                                      
14 SAUVION VOUVRAY 750ML,All warehouses,,,0 86368 68843 2,0 86368 68843 2,4999,                                       
14 SILVERADO ROSATO,All warehouses,,,088417870874,088417870874,813,                                                   
14 SILVERADO SAUVIGNON BLANC 750ML,All warehouses,,, 08841788027 9, 08841788027 9,815,                                
14 SOFIA BLANC 4 PK 187ML,All warehouses,,,73995803324 1,73995803324 1,660,                                           
14 SOFIA BLANC DE BLANCS 750ML,All warehouses,,, 73995898320 1, 73995898320 1,657,                                    
14 SOFIA ROSE COPPOLA TRAY SR15T,All warehouses,,,399580333302,399580333302,207,                                      
14 STAGS LEAP HANDS OF TIME CHARDONNAY,All warehouses,,, 08859355004 1, 08859355004 1,1145,                           
14 STAGS LEAP SAUV BLANC AVETA,All warehouses,,, 08859340004 9, 08859340004 9,1170,                                   
14 STEFANO FARINA MOSCATO D'ASTI,All warehouses,,, 80083662217 89, 80083662217 89,2650,                               
14 VOTRE SANTE PINOT NOIR 750ML,All warehouses,,,7 39958 09921 6,7 39958 09921 6,2512,                                
14 YEALANDS SAUV BLANC 750ML,All warehouses,,, 08724177108, 08724177108,2900,                                         
15 BRICCO RIELLA MOSCATO 750ML,All warehouses,,,8027668000014,8027668000014,2660,                                     
15 COPPOLA DIAMOND PINOT GRIGIO 750ML,All warehouses,,,7 39958 07500 5,7 39958 07500 5,208,                           
15 COPPOLA SOFIA RIESLING 750ML,All warehouses,,, 739958083505, 739958083505,659,                                     
15 MEZZACORONA PINOT GRIGIO PRECUT,All warehouses,,,0 87241 88157 5,0 87241 88157 5,2825,                             
15 SOFIA ROSE 750ML,All warehouses,,,7 39958 03330 2,7 39958 03330 2,658,                                             
1985 DOW'S VINTAGE PORT 6PK,All warehouses,,,,0000000000000,4170,                                                     
2000 DOW'S VINTAGE PORT 6PK,All warehouses,,, 09479902061 5, 09479902061 5,4157,                                      
ARANCIO EXTRA VIRGIN OLIVE OIL500ML,All warehouses,,,8 54559 00199 1,8 54559 00199 1,3182,                            
BARBADILLO CREAM 750ML,All warehouses,,,8410061018203,8410061018203,6106,                                             
BARBADILLO PEDRO XIMENEZ 6PK750ML,All warehouses,,,8410061018210,8410061018210,6108,                                  
CREMANT RESERVE SPARR 6PK,All warehouses,,, 09787100032 1, 09787100032 1,2627,                                        
DOW'S 10YR OLD TAWNY 750ML,All warehouses,,, 09479902016 5, 09479902016 5,4100,                                       
DOW'S 20YR OLD TAWNY PORT 750ML,All warehouses,,, 09479902018 9, 09479902018 9,4110,                                  
DOW'S 30YR OLD TAWNY PORT 6PK 750ML,All warehouses,,, 09479902020 2, 09479902020 2,4115,                              
DOW'S 40YR OLD TAWNY PORT 6PK 750ML,All warehouses,,,0 94799 02068 4,0 94799 02068 4,4135,                            
DOW'S BOARDROOM TAWNY PORT 750ML,All warehouses,,, 09479902008 0, 09479902008 0,4080,                                 
DOW'S RUBY PORTO 750ML,All warehouses,,, 09479902002 8, 09479902002 8,3990,                                           
DOW'S TAWNY PORTO 750ML,All warehouses,,, 09479902001 1, 09479902001 1,4000,                                          
DOW'S WHITE PORTO 750ML,All warehouses,,,094799020035,094799020035,4040,                                              
EVIAN PLASTIC 1000ML 12PK,All warehouses, 07929810000,, 07929800007, 07929800007,3920,                                
EVIAN PLASTIC 330ML 24PK,All warehouses,,, 07929800011, 07929800011,3910,                                             
EVIAN PLASTIC 500ML 24PK,All warehouses,,, 0792885, 0792885,3940,                                                     
JIMMY LUV'S BLOODY MARY SPICY,All warehouses,,, 08175305867 8, 08175305867 8,5611,                                    
MARIETTA OLD VINE RED #62 750ML,All warehouses,,, 74675168713,74675168713,444,                                        
NV DOW'S CRUSTED PORT,All warehouses,,,,,4130,                                                                        
NV DOW'S TRADEMARK PORT 750ML,All warehouses,,, 09479902052 3, 09479902052 3,4035,                                    
NV HEREDAD RES MAG 1.5L,All warehouses,,, 03329365500 8, 03329365500 8,4408,                                          
NV HEREDAD RESERVE,All warehouses,,, 03329365000, 03329365000,4406,                                                   
NV LEACOCK RAINWATER 750ML,All warehouses,,, 09479904001 9, 09479904001 9,3900,                                       
NV MEZZACORONA MOSCATO 1.5ML,All warehouses,,,,0 87241 88135 8,2820,                                                  
NV OPICI SHERRY 1.5ML,All warehouses,,, 08689105020 1, 08689105020 1,1375,                                            
NV PIERRE SPARR CREMANT ROSE 6PK 750ML,All warehouses,,, 09787100022 2, 09787100022 2,2637,                           
NV RENE BARBIER RED 750ML,All warehouses,,,332938700 0,332938700 0,3810,                                              
NV RENE BARBIER WHITE 750ML,All warehouses,,,332938600 0,332938600 0,3815,                                            
NV RIGHETTI SOL,All warehouses,,,, 08724177108,2952,                                                                  
NV ROTARI BRUT 187ML,All warehouses,,, 08724188208 4, 08724188208 4,4345,                                             
NV ROTARI BRUT 750ML,All warehouses,,, 08724188114 8, 08724188114 8,4339,                                             
NV ROTARI ROSE 187ML,All warehouses,,,0000000000000,0000000000000,4346,                                               
NV ROTARI ROSE 750ML,All warehouses,,, 08724188118 6, 08724188118 6,4343,                                             
NV ROTARI TRAY,All warehouses,,,,0000000000000,4344,                                                                  
NV SCHRAMSBERG MIRABELLE BRUT 750ML,All warehouses,,, 0 1985527200 5, 0 1985527200 5,4447,                            
NV SCHRAMSBERG MIRABELLE ROSE 750ML,All warehouses,,,0 19855 28200 4,0 19855 28200 4,4443,                            
NV SEGURA VIUDAS ARIA BRUT,All warehouses,,, 0 3329366000 2, 0 3329366000 2,4400,                                     
NV SEGURA VIUDAS ARIA EXTRA DRY 750ML,All warehouses,,, 0 3329367000 1, 0 3329367000 1,4402,                          
NV SEGURA VIUDAS BRUT ROSE 750ML,All warehouses,,,03329364000 4,03329364000 4,4407,                                   
NV SEGURA VIUDAS BRUT,All warehouses,,, 03329369000 9, 03329369000 9,4404,                                            
NV SEGURA VIUDAS EXTRA DRY 750ML,All warehouses,,,03329365075 1,03329365075 1,4401,                                   
NV SEGURA VIUDAS SPARK SPLIT 187ML,All warehouses,,, 03329368000 0, 03329368000 0,4405,                               
NV TOWNSEND CABERNET,All warehouses,,,,0000000000000,2244,                                                            
NV TOWNSEND CHARDONNAY,All warehouses,,,,0000000000000,2245,                                                          
NV YELLOW TAIL CABERNET  750ML,All warehouses,,, 031259009452, 031259009452,2311,                                     
NV YELLOW TAIL CABERNET MAG 1.5L,All warehouses,,, 03125900946 9, 03125900946 9,2313,                                 
NV YELLOW TAIL CABERNET MERLOT 1.5ML,All warehouses,,, 03125901405 0, 03125901405 0,2324,                             
NV YELLOW TAIL CABERNET MERLOT 750ML,All warehouses,,, 031259014043, 031259014043,2322,                               
NV YELLOW TAIL CABERNET TRAY 1.5,All warehouses,,, 74829404415 6, 74829404415 6,2325,                                 
NV YELLOW TAIL CHARDONNAY  750ML,All warehouses,,, 031259008929, 031259008929,2332,                                   
NV YELLOW TAIL CHARDONNAY  MAG 1.5L,All warehouses,,, 03125900893 6, 03125900893 6,2334,                              
NV YELLOW TAIL CHARDONNAY TRAY 1.5L,All warehouses,,,0 31259 00893 6,0 31259 00893 6,2333,                            
NV YELLOW TAIL MERLOT  750ML,All warehouses,,, 031259009223, 031259009223,2317,                                       
NV YELLOW TAIL MERLOT  MAG 1.5L,All warehouses,,, 03125900923 0, 03125900923 0,2319,                                  
NV YELLOW TAIL MERLOT TRAY 1.5L,All warehouses,,,0 31259 00923 0,0 31259 00923 0,2318,                                
NV YELLOW TAIL MOSCATO 1.5ML,All warehouses,,,3125903286,3125903286,2382,                                             
NV YELLOW TAIL MOSCATO 750ML,All warehouses,,,031259032856,031259032856,2381,                                         
NV YELLOW TAIL PINK MOSCATO 1.5ML,All warehouses,,, 74829404411 8, 74829404411 8,2351,                                
NV YELLOW TAIL PINOT GRIGIO 750ML,All warehouses,,, 031259009711, 031259009711,2327,                                  
NV YELLOW TAIL PINOT NOIR 1.5L,All warehouses,,,031259032658,031259032658,2310,                                       
NV YELLOW TAIL PINOT NOIR 750ML,All warehouses,,,031259018492,031259018492,2309,                                      
NV YELLOW TAIL RED MOSCATO BUBBLES,All warehouses,,,089819813223,089819813223,2555,                                   
NV YELLOW TAIL RIESLING 750ML,All warehouses,,,031259017334,031259017334,2329,                                        
NV YELLOW TAIL RIESLING MAG 1.5L,All warehouses,,,0 3125901869 0,0 3125901869 0,2328,                                 
NV YELLOW TAIL SANGRIA 1.5ML,All warehouses,,,8 39743 00158 2,8 39743 00158 2,2353,                                   
NV YELLOW TAIL SANGRIA 750ML,All warehouses,,,839743001575,839743001575,2352,                                         
NV YELLOW TAIL SHIRAZ  750ML,All warehouses,,,031259008943,031259008943,2336,                                         
NV YELLOW TAIL SHIRAZ  MAG 1.5L,All warehouses,,, 03125900895 0, 03125900895 0,2338,                                  
NV YELLOW TAIL SHIRAZ CABERNET 1.5ML,All warehouses,,, 03125900955 1, 03125900955 1,2307,                             
NV YELLOW TAIL SHIRAZ CABERNET,All warehouses,,, 031259009544, 031259009544,2304,                                     
NV YELLOW TAIL SHIRAZ GRENACHE 1.5ML,All warehouses,,, 03125901407 4, 03125901407 4,2302,                             
NV YELLOW TAIL SHIRAZ GRENACHE,All warehouses,,, 031259014067, 031259014067,2300,                                     
NV YELLOW TAIL SHIRAZ TRAY 1.5,All warehouses,,,0 31259 00895 0,0 31259 00895 0,2337,                                 
SANTINI DRY MARSALA 1L,All warehouses,,,021893786666,021893786666,3745,                                               
SANTINI SWEET MARSALA 1L,All warehouses,,,021893786659,021893786659,3735,                                             
